x,y,class
3.0271038340798166,1.4715031689091767,class_1
0.4256894631894813,0.7993224785937816,class_1
1.1870237182422074,1.9322198779278943,class_1
-0.19247794310366584,2.4470452032644623,class_1
2.0445686637728278,2.0879213634406066,class_1
2.491289451922658,1.907199034325996,class_1
1.0895546650811974,2.8122133267725697,class_1
-0.10528503718034354,0.13028392738138006,class_1
-0.30459765626430313,0.7158221361726385,class_1
1.7512261281011856,3.968761067459255,class_1
-0.3990594534981513,2.5863296106385945,class_1
0.16125370609710965,2.1884510128694203,class_1
0.5500119925990651,1.079402074984836,class_1
1.601389786074438,3.8579519473513573,class_1
0.07113279676010142,3.045776731947848,class_1
0.33282621942031265,2.0395913747110797,class_1
2.1044172792508204,2.572940719645483,class_1
-0.14011819677861048,2.390263325804468,class_1
0.30829633175280347,2.2880227329114518,class_1
1.2769703813083677,1.113516088536325,class_1
-0.1623091427388168,1.4584024416003625,class_1
1.8576706337959,0.76197395385121,class_1
-0.01980098546530651,3.065842677056447,class_1
1.6347338920497485,0.29184745463059025,class_1
1.7762927397822055,1.4201454115225234,class_1
1.3770452747848365,1.8050509926874105,class_1
-0.6024933862115627,1.2682502559816213,class_1
0.6433222854832275,3.059196504702906,class_1
0.5336489774971368,2.2194649207189374,class_1
2.832762593838337,1.566583679084681,class_1
2.1543977568345487,3.600192418855271,class_1
0.03835452025996289,3.1013079471072853,class_1
-0.5953293737844252,0.413399635316289,class_1
2.6829764604600497,0.6336963688377001,class_1
-0.029943304666288695,2.9555301506934826,class_1
1.723412329599035,2.5535517488276067,class_1
1.6450838327161499,1.0529102278836682,class_1
1.7678252653879598,3.2269174122715882,class_1
1.8677251343106156,0.9637831965290014,class_1
2.0756307825813027,1.138216457813192,class_1
1.0592806436980595,1.4451923565902995,class_1
1.0837057375599561,2.111488114668155,class_1
0.022512996020384923,1.51205227711184,class_1
2.064154675479446,0.4326009500935919,class_1
1.6962751906810654,0.9131997461923749,class_1
1.0611559689181802,0.8655095814630929,class_1
3.212462147574292,5.591346553181694,class_1
0.48019465944395534,2.1180382157736553,class_1
0.48204861938178156,1.3185119867080406,class_1
1.013432207681808,2.1289269813972056,class_1
1.2572857376538606,0.9052208585091088,class_1
0.8491406548856523,3.0733496424362494,class_1
1.8092856327992175,-0.6449288793644685,class_1
2.164752927257169,0.22646120707828188,class_1
-0.14508894759147428,3.7345137839097737,class_1
2.526708178172048,2.934715817218767,class_1
1.2329576688763433,3.721366285182701,class_1
1.4940215396468093,1.521507921045082,class_1
-0.13260117363437818,2.9172318147611502,class_1
0.9315053022848939,3.706362926708355,class_1
1.3935899486113628,1.8921982957242258,class_1
1.837241829897292,3.330762865591818,class_1
0.5841464486916091,2.490199437649117,class_1
1.2693334771634743,0.2268474968139238,class_1
0.08272882670885928,1.0384452962917043,class_1
2.035767736890903,0.13595420212053555,class_1
